"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.bimcloud.fr/54.37.80.118","443","INFO","HTTP","",""
"pre_128cipher","www.bimcloud.fr/54.37.80.118","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.bimcloud.fr/54.37.80.118","443","OK","not offered","",""
"SSLv3","www.bimcloud.fr/54.37.80.118","443","OK","not offered","",""
"TLS1","www.bimcloud.fr/54.37.80.118","443","INFO","not offered","",""
"TLS1_1","www.bimcloud.fr/54.37.80.118","443","INFO","not offered","",""
"TLS1_2","www.bimcloud.fr/54.37.80.118","443","OK","offered","",""
"TLS1_3","www.bimcloud.fr/54.37.80.118","443","OK","offered with final","",""
"ALPN_HTTP2","www.bimcloud.fr/54.37.80.118","443","OK","h2","",""
"ALPN","www.bimcloud.fr/54.37.80.118","443","INFO","http/1.1","",""
"cipherlist_NULL","www.bimcloud.fr/54.37.80.118","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.bimcloud.fr/54.37.80.118","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.bimcloud.fr/54.37.80.118","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.bimcloud.fr/54.37.80.118","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.bimcloud.fr/54.37.80.118","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.bimcloud.fr/54.37.80.118","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.bimcloud.fr/54.37.80.118","443","OK","offered","",""
"cipherlist_STRONG_FS","www.bimcloud.fr/54.37.80.118","443","OK","offered","",""
"cipher_order-tls1_2","www.bimcloud.fr/54.37.80.118","443","OK","server","",""
"cipherorder_TLSv1_2","www.bimcloud.fr/54.37.80.118","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.bimcloud.fr/54.37.80.118","443","OK","server -- TLS 1.3 client determined","",""
"FS","www.bimcloud.fr/54.37.80.118","443","OK","offered","",""
"FS_ciphers","www.bimcloud.fr/54.37.80.118","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.bimcloud.fr/54.37.80.118","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.bimcloud.fr/54.37.80.118","443","INFO","'session ticket/#35' 'renegotiation info/#65281' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","www.bimcloud.fr/54.37.80.118","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.bimcloud.fr/54.37.80.118","443","INFO","yes","",""
"sessionresumption_ticket","www.bimcloud.fr/54.37.80.118","443","INFO","not supported","",""
"sessionresumption_ID","www.bimcloud.fr/54.37.80.118","443","INFO","not supported","",""
"TLS_timestamp","www.bimcloud.fr/54.37.80.118","443","INFO","random","",""
"certificate_compression","www.bimcloud.fr/54.37.80.118","443","INFO","none","",""
"clientAuth","www.bimcloud.fr/54.37.80.118","443","INFO","none","",""
"cert_numbers","www.bimcloud.fr/54.37.80.118","443","INFO","1","",""
"cert_signatureAlgorithm","www.bimcloud.fr/54.37.80.118","443","OK","SHA256 with RSA","",""
